date,code,price,rate
2020-12-08,HK01810,26.35,0.88
2020-12-09,HK01810,27.50,0.88
2020-12-10,HK01810,27.60,0.88
2020-12-11,HK01810,27.55,0.88
2020-12-14,HK01810,29.20,0.88
2020-12-15,HK01810,29.55,0.88
2020-12-16,HK01810,29.30,0.88
2020-12-17,HK01810,29.30,0.88
2020-12-18,HK01810,28.80,0.88
2020-12-21,HK01810,29.30,0.88
2020-12-22,HK01810,29.65,0.88
2020-12-22,HK01810,29.65,0.88
2020-12-23,HK01810,31.90,0.88
2020-12-24,HK01810,32.45,0.88
2020-12-25,HK01810,32.45,0.88
2020-12-28,HK01810,31.15,0.88
2020-12-29,HK01810,32.80,0.88
2020-12-30,HK01810,32.95,0.88
2020-12-31,HK01810,33.20,0.88
2021-01-04,HK01810,35.25,0.84
2021-01-05,HK01810,35.30,0.84
2021-01-06,HK01810,33.90,0.84
2021-01-07,HK01810,32.00,0.84
2021-01-08,HK01810,31.96,0.84
2021-01-11,HK01810,32.05,0.84
2021-01-12,HK01810,33.45,0.83
2021-01-13,HK01810,33.00,0.83
2021-01-14,HK01810,32.65,0.83
2021-01-15,HK01810,29.30,0.83
2021-01-18,HK01810,29.90,0.83
2021-01-19,HK01810,31.50,0.83
